2026-05-01 02:21:09,267 [MCA-SWEEP] INFO -   CT offset 384000: 2000 records, 0 new MCA leads
2026-05-01 02:21:11,222 [MCA-SWEEP] INFO -   CT offset 386000: 2000 records, 0 new MCA leads
2026-05-01 02:21:13,016 [MCA-SWEEP] INFO -   CT offset 388000: 2000 records, 0 new MCA leads
2026-05-01 02:21:15,082 [MCA-SWEEP] INFO -   CT offset 390000: 2000 records, 0 new MCA leads
2026-05-01 02:21:17,143 [MCA-SWEEP] INFO -   CT offset 392000: 2000 records, 0 new MCA leads
2026-05-01 02:21:19,701 [MCA-SWEEP] INFO -   CT offset 394000: 2000 records, 0 new MCA leads
2026-05-01 02:21:21,829 [MCA-SWEEP] INFO -   CT offset 396000: 2000 records, 0 new MCA leads
2026-05-01 02:21:24,504 [MCA-SWEEP] INFO -   CT offset 398000: 2000 records, 0 new MCA leads
2026-05-01 02:21:29,922 [MCA-SWEEP] INFO -   CT offset 400000: 2000 records, 0 new MCA leads
2026-05-01 02:21:32,176 [MCA-SWEEP] INFO -   CT offset 402000: 2000 records, 0 new MCA leads
2026-05-01 02:21:35,051 [MCA-SWEEP] INFO -   CT offset 404000: 2000 records, 0 new MCA leads
2026-05-01 02:21:37,359 [MCA-SWEEP] INFO -   CT offset 406000: 2000 records, 0 new MCA leads
2026-05-01 02:21:39,672 [MCA-SWEEP] INFO -   CT offset 408000: 2000 records, 0 new MCA leads
2026-05-01 02:21:42,006 [MCA-SWEEP] INFO -   CT offset 410000: 2000 records, 0 new MCA leads
2026-05-01 02:21:44,570 [MCA-SWEEP] INFO -   CT offset 412000: 2000 records, 0 new MCA leads
2026-05-01 02:21:46,900 [MCA-SWEEP] INFO -   CT offset 414000: 2000 records, 0 new MCA leads
2026-05-01 02:21:49,596 [MCA-SWEEP] INFO -   CT offset 416000: 2000 records, 0 new MCA leads
2026-05-01 02:21:52,050 [MCA-SWEEP] INFO -   CT offset 418000: 2000 records, 0 new MCA leads
2026-05-01 02:21:54,684 [MCA-SWEEP] INFO -   CT offset 420000: 2000 records, 0 new MCA leads
2026-05-01 02:21:57,313 [MCA-SWEEP] INFO -   CT offset 422000: 2000 records, 0 new MCA leads
2026-05-01 02:21:59,995 [MCA-SWEEP] INFO -   CT offset 424000: 2000 records, 0 new MCA leads
2026-05-01 02:22:02,784 [MCA-SWEEP] INFO -   CT offset 426000: 2000 records, 0 new MCA leads
2026-05-01 02:22:05,906 [MCA-SWEEP] INFO -   CT offset 428000: 2000 records, 0 new MCA leads
2026-05-01 02:22:08,329 [MCA-SWEEP] INFO -   CT offset 430000: 2000 records, 0 new MCA leads
2026-05-01 02:22:10,330 [MCA-SWEEP] INFO -   CT offset 432000: 2000 records, 0 new MCA leads
2026-05-01 02:22:12,481 [MCA-SWEEP] INFO -   CT offset 434000: 2000 records, 0 new MCA leads
2026-05-01 02:22:14,952 [MCA-SWEEP] INFO -   CT offset 436000: 2000 records, 0 new MCA leads
2026-05-01 02:22:17,113 [MCA-SWEEP] INFO -   CT offset 438000: 2000 records, 0 new MCA leads
2026-05-01 02:22:19,372 [MCA-SWEEP] INFO -   CT offset 440000: 2000 records, 0 new MCA leads
2026-05-01 02:22:21,450 [MCA-SWEEP] INFO -   CT offset 442000: 2000 records, 0 new MCA leads
2026-05-01 02:22:23,502 [MCA-SWEEP] INFO -   CT offset 444000: 2000 records, 0 new MCA leads
2026-05-01 02:22:26,411 [MCA-SWEEP] INFO -   CT offset 446000: 2000 records, 0 new MCA leads
2026-05-01 02:22:28,560 [MCA-SWEEP] INFO -   CT offset 448000: 2000 records, 0 new MCA leads
2026-05-01 02:22:30,896 [MCA-SWEEP] INFO -   CT offset 450000: 2000 records, 0 new MCA leads
2026-05-01 02:22:32,860 [MCA-SWEEP] INFO -   CT offset 452000: 2000 records, 0 new MCA leads
